osm_tag,occurrences,tp,fp,fn,precision,recall,f1
lanes,32,19,17,13,0.5278,0.5938,0.5588
lanes:backward,33,12,15,21,0.4444,0.3636,0.4
lanes:forward,33,11,16,22,0.4074,0.3333,0.3667
maxspeed,2,2,27,0,0.069,1.0,0.129
maxspeed:backward,0,0,0,0,,,
maxspeed:forward,3,0,14,3,0.0,0.0,0.0
name,65,7,10,58,0.4118,0.1077,0.1707
oneway,32,23,13,9,0.6389,0.7188,0.6765
turn:lanes,5,1,34,4,0.0286,0.2,0.05
turn:lanes:backward,1,0,23,1,0.0,0.0,0.0
turn:lanes:forward,4,0,25,4,0.0,0.0,0.0
-,-,-,-,-,-,-,-
overall,-,75,194,135,0.2788,0.3571,0.3132
