osm_tag,occurrences,tp,fp,fn,precision,recall,f1
lanes,32,3,2,29,0.6,0.0938,0.1622
lanes:backward,33,23,35,10,0.3966,0.697,0.5055
lanes:forward,33,23,35,10,0.3966,0.697,0.5055
maxspeed,2,0,0,2,0.0,0.0,0.0
maxspeed:backward,0,0,0,0,,,
maxspeed:forward,2,2,10,0,0.1667,1.0,0.2857
name,65,3,26,62,0.1034,0.0462,0.0638
oneway,32,4,1,28,0.8,0.125,0.2162
turn:lanes,5,1,3,4,0.25,0.2,0.2222
turn:lanes:backward,1,0,14,1,0.0,0.0,0.0
turn:lanes:forward,4,0,25,4,0.0,0.0,0.0
-,-,-,-,-,-,-,-
overall,-,59,151,150,0.281,0.2823,0.2816
