osm_tag,occurrences,tp,fp,fn,precision,recall,f1
lanes,32,2,4,30,0.3333,0.0625,0.1053
lanes:backward,33,25,30,8,0.4545,0.7576,0.5682
lanes:forward,33,21,37,12,0.3621,0.6364,0.4615
maxspeed,2,0,2,2,0.0,0.0,0.0
maxspeed:backward,0,0,0,0,,,
maxspeed:forward,2,1,10,1,0.0909,0.5,0.1538
name,65,2,29,63,0.0645,0.0308,0.0417
oneway,32,4,2,28,0.6667,0.125,0.2105
turn:lanes,5,0,2,5,0.0,0.0,0.0
turn:lanes:backward,1,0,9,1,0.0,0.0,0.0
turn:lanes:forward,4,0,24,4,0.0,0.0,0.0
-,-,-,-,-,-,-,-
overall,-,55,149,154,0.2696,0.2632,0.2663
