sequence_id,sequence_index,heading,osmid,match_forward,geometry
34523248,355,31,955237975,True,POINT (-74.007338 40.715698)
34519736,911,30,413054286,True,POINT (-74.007847 40.715045)
34519736,916,31,955237974,True,POINT (-74.007632 40.715297)
34519736,986,301,5671314,True,POINT (-74.007142 40.715192)
34519736,919,30,955237975,True,POINT (-74.007502 40.715458)
34519736,988,301,5671314,True,POINT (-74.007267 40.715243)
34519736,989,301,5671314,True,POINT (-74.007325 40.715277)
34519736,991,301,5671314,True,POINT (-74.007442 40.715342)
34519736,920,31,955237975,True,POINT (-74.007457 40.715517)
34519736,924,31,955237975,True,POINT (-74.0073 40.715722)
34662156,172,30,483707770,True,POINT (-74.008103 40.714705)
34519736,1007,301,413045201,True,POINT (-74.008408 40.71583)
34519736,1235,210,1022549185,True,POINT (-74.008248 40.716823)
34519736,1239,209,1022549186,True,POINT (-74.00839 40.716587)
34519736,1240,210,1022549186,True,POINT (-74.008425 40.716532)
34523248,331,30,483707770,True,POINT (-74.008343 40.714468)
34523248,335,30,483707770,True,POINT (-74.008177 40.714685)
34519736,961,212,496982627,True,POINT (-74.005578 40.714933)
34519736,962,212,496982627,True,POINT (-74.00561 40.714877)
34519736,966,301,5671314,True,POINT (-74.005838 40.714767)
34519736,967,301,5671314,True,POINT (-74.0059 40.714783)
34519736,968,301,5671314,True,POINT (-74.005968 40.714807)
34519736,972,301,5671314,True,POINT (-74.006203 40.714925)
34519736,940,121,1334187735,True,POINT (-74.006372 40.715735)
34519736,946,121,1334187735,True,POINT (-74.006002 40.715567)
34519736,947,121,1334187735,True,POINT (-74.005938 40.715538)
34519736,949,121,1334187735,True,POINT (-74.005822 40.715487)
34523248,383,121,524817694,True,POINT (-74.006022 40.717)
34523248,385,121,524817694,True,POINT (-74.005885 40.716948)
34523248,367,30,947916172,True,POINT (-74.006783 40.716355)
34523248,375,30,903589929,True,POINT (-74.00644 40.716783)
34523248,376,30,903589929,True,POINT (-74.006402 40.716832)
34523248,378,30,1084033950,True,POINT (-74.00632 40.716932)
34519736,1227,210,1022549185,True,POINT (-74.008018 40.717318)
34519736,1231,210,1022549185,True,POINT (-74.008108 40.717058)
34519736,1233,210,1022549185,True,POINT (-74.008167 40.71694)
34519736,1236,210,1022549185,True,POINT (-74.008282 40.716765)
34523248,360,30,955237975,True,POINT (-74.007108 40.71597)
34523248,341,30,483707770,True,POINT (-74.00796 40.714958)
34523248,343,30,413054286,True,POINT (-74.007875 40.715063)
34523248,345,31,955237974,True,POINT (-74.007787 40.715167)
34523248,351,30,955237975,True,POINT (-74.007508 40.715495)
34523248,352,31,955237975,True,POINT (-74.00746 40.71555)
34523248,357,31,955237975,True,POINT (-74.007248 40.715805)
34523248,358,31,955237975,True,POINT (-74.007192 40.71587)
