sequence_id,sequence_index,heading,osmid,match_forward,geometry
34611252,113,163,46334663,True,POINT (-73.994046 40.714044)
34611252,115,163,46334663,True,POINT (-73.994001 40.71393)
34612252,381,338,662161062,True,POINT (-73.994736 40.714031)
34612252,382,270,414894542,True,POINT (-73.994862 40.714229)
34612252,383,271,414894542,True,POINT (-73.994921 40.714229)
34612252,386,264,414894542,True,POINT (-73.995144 40.71422)
34612252,387,264,414894542,True,POINT (-73.995209 40.714215)
34612252,388,264,414894542,True,POINT (-73.995269 40.714211)
34612252,389,264,414894542,True,POINT (-73.995339 40.714205)
34612252,390,264,414894542,True,POINT (-73.99541 40.7142)
34612252,393,264,414894542,True,POINT (-73.9956 40.714185)
34612252,368,353,1333695989,True,POINT (-73.994512 40.713375)
34612252,369,353,1333695989,True,POINT (-73.994521 40.71344)
34612252,370,353,1333695989,True,POINT (-73.994513 40.713383)
34612252,371,353,1333695989,True,POINT (-73.994517 40.713413)
34612252,758,264,655255187,False,POINT (-73.993635 40.713092)
34612252,374,349,5672911,True,POINT (-73.994547 40.713611)
34612252,786,263,1333670675,False,POINT (-73.99548 40.712942)
34612252,764,263,655255187,False,POINT (-73.994064 40.713058)
34612252,765,264,1333670674,False,POINT (-73.994125 40.713053)
34612252,771,263,1333670673,False,POINT (-73.994478 40.713025)
34612252,773,263,1333670673,False,POINT (-73.994615 40.713014)
34612252,774,263,1333670673,False,POINT (-73.99469 40.713008)
34612252,778,263,1333670673,False,POINT (-73.994937 40.712987)
34612252,341,354,1332821289,True,POINT (-73.994261 40.711577)
34612252,357,353,1332821285,True,POINT (-73.994401 40.712638)
34523248,549,83,5673424,True,POINT (-73.995679 40.713603)
34523248,563,83,1333419993,True,POINT (-73.994764 40.713681)
34523248,567,83,1252123718,False,POINT (-73.994486 40.713703)
34611464,41,173,1329369154,True,POINT (-73.99873 40.714095)
34611464,42,173,1329369154,True,POINT (-73.998719 40.714025)
34611464,46,173,1329369154,True,POINT (-73.998677 40.713766)
34611464,49,174,1329369154,True,POINT (-73.998654 40.713602)
34611464,51,174,1329369154,True,POINT (-73.998644 40.713523)
34612252,399,264,414894542,True,POINT (-73.995998 40.714155)
34612252,793,263,1333670675,False,POINT (-73.995945 40.712902)
34612252,796,263,1333670675,False,POINT (-73.996157 40.712883)
34612252,798,263,1238431029,True,POINT (-73.996281 40.712872)
34612252,820,263,1238431028,False,POINT (-73.997771 40.712746)
34612252,826,347,5670058,True,POINT (-73.998044 40.712907)
34612252,828,347,5670058,True,POINT (-73.998081 40.713033)
34612252,837,303,438901945,True,POINT (-73.998499 40.713449)
34612252,400,264,414894542,True,POINT (-73.996063 40.71415)
34612252,401,264,1335381157,True,POINT (-73.996131 40.714145)
34612252,404,264,1335381157,True,POINT (-73.996331 40.714129)
34612252,405,264,1335381157,True,POINT (-73.996395 40.714125)
34612252,408,264,1335381157,True,POINT (-73.996595 40.71411)
34612252,412,264,1341258157,True,POINT (-73.99685 40.71409)
34612252,413,264,1341258157,True,POINT (-73.996913 40.714085)
34612252,414,270,1317756113,True,POINT (-73.99706 40.714074)
