osmid,sequences,geometry
421824309,"{34523248: [514, 515, 516]}","LINESTRING (-73.9977832 40.7135026, -73.9978406 40.7135502, -73.9978717 40.713576, -73.9979081 40.7136069, -73.997981 40.7136728)"
1329876948,"{34523248: [520, 521, 522, 523, 524, 525, 526]}","LINESTRING (-73.9976411 40.7134475, -73.9976071 40.7134455, -73.9973672 40.7134633, -73.9972984 40.7134688)"
1135342273,"{34523248: [497, 498, 499, 500, 501, 502, 503, 504, 505]}","LINESTRING (-73.9986438 40.7135233, -73.9988274 40.7135912, -73.9988791 40.7136111, -73.9990891 40.7137104)"
196117014,"{34523248: [517, 518, 519]}","LINESTRING (-73.9977832 40.7135026, -73.9977469 40.7134806, -73.9977088 40.7134635, -73.9976732 40.7134529, -73.9976411 40.7134475)"
1329888403,"{34587040: [1477, 1478, 1479, 1480, 1481, 1482, 1483]}","LINESTRING (-74.0000875 40.7113952, -73.9998048 40.7116754, -73.9997076 40.7117851)"
414751458,"{34587040: [1442, 1443, 1444, 1445]}","LINESTRING (-73.9982694 40.7132906, -73.9983739 40.7133669, -73.9984028 40.7133875, -73.9984485 40.7134189, -73.9984987 40.713449)"
1317756113,"{34612252: [414, 415, 416]}","LINESTRING (-73.9970601 40.714074, -73.9971546 40.714074, -73.9972366 40.7140757)"
1238431029,"{34612252: [798, 799, 800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810]}","LINESTRING (-73.9962516 40.712875, -73.9970616 40.7128048, -73.9971151 40.7128003)"
1238431028,"{34612252: [811, 812, 813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 823]}","LINESTRING (-73.9979907 40.7127254, -73.9979069 40.7127347, -73.9978476 40.7127396, -73.9971793 40.712795, -73.9971151 40.7128003)"
655255187,"{34612252: [753, 754, 755, 756, 757, 758, 759, 760, 761, 762, 763, 764]}","LINESTRING (-73.9941106 40.7130535, -73.993669 40.7130897, -73.9936348 40.7130924, -73.9932716 40.7131187, -73.9932525 40.7131203)"
612743237,{34612252: [417]},"LINESTRING (-73.9972366 40.7140757, -73.9972752 40.7140773, -73.9973171 40.7140794, -73.9973401 40.7140818, -73.9973622 40.7140844, -73.9973886 40.7140885, -73.997428 40.7140953)"
222299242,"{34587040: [1435, 1436, 1437, 1438, 1439, 1440, 1441]}","LINESTRING (-73.9980743 40.7137811, -73.9984499 40.7136107, -73.998487 40.7135929, -73.9986438 40.7135233)"
1329583056,"{34523248: [489, 490]}","LINESTRING (-73.9994469 40.7138796, -73.9995713 40.7139391)"
196116989,"{34523248: [506, 507, 508, 509, 510, 511, 512, 513]}","LINESTRING (-73.9984987 40.713449, -73.998354 40.7135109, -73.9980976 40.7136209, -73.997981 40.7136728)"
1333670673,"{34612252: [771, 772, 773, 774, 775, 776, 777, 778, 779, 780, 781, 782]}","LINESTRING (-73.9951743 40.7129675, -73.9945492 40.7130191, -73.9944601 40.7130272)"
165775306,"{34587040: [1427, 1428, 1429, 1430, 1431, 1432, 1433, 1434]}","LINESTRING (-73.9975839 40.7140701, -73.9976165 40.7140361, -73.9976442 40.7140084, -73.997675 40.7139841, -73.9977144 40.7139565, -73.9977556 40.7139321, -73.9978071 40.7139044, -73.9978556 40.7138806, -73.997969 40.7138284, -73.9980059 40.7138126, -73.9980743 40.7137811)"
1333670675,"{34612252: [783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797]}","LINESTRING (-73.9962516 40.712875, -73.9959222 40.7129038, -73.9951743 40.7129675)"
1333670674,"{34612252: [765, 766, 767, 768, 769, 770]}","LINESTRING (-73.9944601 40.7130272, -73.9943797 40.713034, -73.9941106 40.7130535)"
1329844597,"{34612252: [15, 16, 17, 18, 19, 20, 21, 22, 23, 24]}","LINESTRING (-73.9958141 40.7121906, -73.995122 40.7122501)"
1335381157,"{34612252: [401, 402, 403, 404, 405, 406, 407, 408]}","LINESTRING (-73.996085 40.7141484, -73.9962839 40.7141331, -73.9966039 40.7141086)"
1333699601,{34612252: [363]},"LINESTRING (-73.9944601 40.7130272, -73.9944695 40.7130919)"
1329887723,"{34523248: [491, 492, 493, 494, 495, 496]}","LINESTRING (-73.9990891 40.7137104, -73.9994469 40.7138796)"
1333695989,"{34612252: [368, 369, 370, 371, 372, 373]}","LINESTRING (-73.9945069 40.7133434, -73.9945466 40.713611)"
1332815845,"{34612252: [260, 261]}","LINESTRING (-73.9943547 40.7115937, -73.9942643 40.7116012)"
1332815846,"{34612252: [224, 225]}","LINESTRING (-73.9967842 40.7113738, -73.9966625 40.7113902)"
1332819054,"{34612252: [326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340]}","LINESTRING (-73.9941278 40.7106341, -73.9942549 40.7115356)"
1333226030,"{34612252: [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]}","LINESTRING (-73.995122 40.7122501, -73.9944427 40.7123103, -73.9943532 40.7123181)"
1332821283,"{34612252: [364, 365, 366, 367]}","LINESTRING (-73.9944695 40.7130919, -73.9945069 40.7133434)"
1332821284,{34612252: [362]},"LINESTRING (-73.9944507 40.7129655, -73.9944601 40.7130272)"
1333668208,"{34612252: [269, 270, 271, 272]}","LINESTRING (-73.9937667 40.7116449, -73.9935027 40.7116718)"
1333419993,"{34523248: [561, 562, 563, 564, 565]}","LINESTRING (-73.9949113 40.7136682, -73.9946773 40.7136879, -73.9945699 40.713696)"
1332821285,"{34612252: [353, 354, 355, 356, 357, 358, 359, 360, 361]}","LINESTRING (-73.9943632 40.7123843, -73.9944507 40.7129655)"
1332821287,"{34612252: [351, 352]}","LINESTRING (-73.9943447 40.71225, -73.9943532 40.7123181)"
